date,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx,dp,dy,ep,de,e10p,tms,dfy,log_equity_premium,equity_premium,equity_premium_lag,abs_ep_lag,sign_lag
1927-12-01,17.66,0.77,1.11,0.37468859,0.0317,0.0446,0.0532,0.0316,0.06936467,0.002638184,-0.0019286,0.0072,0.0068,0.000674177,,0.0192,0.0143,-3.1326669593102214,-3.113803867861922,-2.7669421798515708,-0.36572477945865034,,0.012900000000000002,0.008599999999999997,0.01638329573465581,0.016561816,0.06786987,0.06786987,1.0
1928-01-01,17.57,0.7767,1.133,0.378669621,0.0331,0.0446,0.0535,0.0321,0.051893753,0.002754536,-0.0019324,-0.0036,0.0027,0.000938562,,-0.0074,-0.0094,-3.1188940057555414,-3.124003298732349,-2.7413239201531368,-0.37757008560240474,,0.011500000000000003,0.008899999999999998,-0.010178265046799978,-0.010154536,0.016561816,0.016561816,1.0
1928-02-01,17.26,0.7833,1.155,0.386076599,0.0333,0.0446,0.0533,0.0318,0.047540078,0.002771157,-0.0097182,0.0061,0.0068,0.000769937,,-0.0122,-0.0163,-3.092631200264226,-3.1104324168079502,-2.704291341681525,-0.38833985858270104,,0.011299999999999998,0.0087,-0.015042355298868507,-0.014971157,-0.010154536,0.010154536,0.0
1928-03-01,19.13,0.79,1.177,0.363254838,0.0327,0.0446,0.0532,0.0317,0.044086685,0.002721294,0.0,0.0045,0.0041,0.001581534,,0.106,0.1019,-3.1869801169732312,-3.0841140191763516,-2.7882889551740218,-0.39869116179920955,,0.0119,0.008599999999999997,0.09803230511687988,0.103278706,-0.014971157,0.014971157,0.0
1928-04-01,19.75,0.7967,1.2,0.368095261,0.0362,0.0446,0.0533,0.0319,0.038282329,0.003012126,0.0019512,-0.0004,0.0014,0.001711572,,0.0349,0.0329,-3.2104305739429475,-3.178534866047978,-2.8008319345531763,-0.40959863938977137,,0.008399999999999998,0.0087,0.031297205054464455,0.031887874000000004,0.103278706,0.103278706,1.0
1928-05-01,20.0,0.8033,1.222,0.354396979,0.039,0.0449,0.0542,0.0327,0.038801854,0.00324473,0.0058309,-0.0077,-0.0078,0.002230404,,0.0126,0.0077,-3.214759309356361,-3.2021805271495007,-2.795243412804587,-0.41951589655177374,,0.0059000000000000025,0.009299999999999996,0.009281803330563419,0.00935527,0.031887874000000004,0.031887874000000004,1.0
1928-06-01,19.19,0.81,1.245,0.370299948,0.0392,0.0457,0.0555,0.0326,0.039788854,0.003261343,-0.0077821,0.0041,-0.0024,0.003920566,,-0.0343,-0.0387,-3.1651103413352613,-3.2064533048696435,-2.7352537801029375,-0.4298565612323235,,0.006499999999999999,0.009800000000000003,-0.03815808836491103,-0.037561343,0.00935527,0.00935527,1.0
1928-07-01,19.43,0.8167,1.268,0.360648148,0.0412,0.0461,0.0558,0.0344,0.047306478,0.003427453,0.0,-0.0217,-0.001,0.001803805,,0.0105,0.0087,-3.1693017120072557,-3.156872758637516,-2.7293774073743142,-0.4399243046329413,,0.004900000000000002,0.0097,0.007023665191719099,0.007072547,-0.037561343,0.037561343,0.0
1928-08-01,20.87,0.8233,1.29,0.324029783,0.0436,0.0464,0.0561,0.0341,0.046112741,0.003626749,0.0019512,0.0076,0.0083,0.001446514,,0.0702,0.0655,-3.232747345766866,-3.1612528880671054,-2.7836705027155286,-0.44907684305133744,,0.002799999999999997,0.0097,0.0642253586910997,0.066573251,0.007072547,0.007072547,1.0
1928-09-01,21.37,0.83,1.312,0.32816581,0.0457,0.0461,0.0559,0.0346,0.012454628,0.0038011,0.007767,-0.0041,0.003,0.000771632,,0.0217,0.0193,-3.24831764752255,-3.2246422992806028,-2.790435378809159,-0.4578822687133908,,0.0004000000000000045,0.009799999999999996,0.017674012541321244,0.017898900000000002,0.066573251,0.066573251,1.0
1928-10-01,21.68,0.8367,1.335,0.308930838,0.047,0.0461,0.0558,0.0336,0.018810003,0.003909017,-0.0019361,0.0158,0.0083,0.000801469,,0.0146,0.0128,-3.2546798722520296,-3.2402777650116406,-2.7874588847192325,-0.46722098753279695,,-0.000899999999999998,0.0097,0.010593049505130611,0.010690983000000001,0.017898900000000002,0.017898900000000002,1.0
1928-11-01,24.28,0.8433,1.357,0.265525939,0.0426,0.0458,0.0555,0.0338,0.025796696,0.003543714,-0.0019399,0.0003,-0.0036,0.001622572,,0.1225,0.1162,-3.3600854785928385,-3.2468226889729865,-2.8843765853385652,-0.4757088932542732,,0.0032000000000000015,0.0097,0.11202089079416382,0.118956286,0.010690983000000001,0.010690983000000001,1.0
1928-12-01,24.35,0.85,1.38,0.259666667,0.0426,0.0461,0.056,0.034,0.031173008,0.003543714,-0.0038911,0.0004,0.0084,0.004352435,,0.0063,0.0029,-3.355050779026374,-3.3521718956890725,-2.8704483503594855,-0.4846024286668882,,0.003500000000000003,0.009899999999999999,0.002742788117042001,0.002756286,0.118956286,0.118956286,1.0
1929-01-01,25.74,0.86,1.399,0.245346603,0.0466,0.0462,0.0563,0.0349,0.052211015,0.003875813,-0.0019512,-0.009,0.0043,0.001983744,,0.0542,0.0526,-3.398869091902564,-3.3433547392631824,-2.9122885064846367,-0.4865805854179278,,-0.0004000000000000045,0.010100000000000005,0.04891386405102259,0.050324187,0.002756286,0.002756286,1.0
