yyyymm,price,d12,e12,ret,retx,AAA,BAA,lty,ltr,corpr,tbl,Rfree,d/p,d/y,e/p,d/e,b/m,tms,dfy,dfr,infl,eqis,ntis,svar,cay,i/k,csp,pce,vp,impvar,vrp,govik,lzrt,skew,crdstd,ogap,wtexas,accrul,cfacc,sntm,ndrbl,skvw,tail,fbm,dtoy,dtoat,ygap,rdsp,rsvix,gpce,gip,tchi,house,avgcor,shtint,disag
188708,5.45,0.2400,0.3500,,,,,,,,,0.004207,0.044037,0.042934,0.064220,0.685714,,,,,,,,0.002336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188709,5.38,0.2425,0.3525,,,,,,,,,0.004325,0.045074,0.044495,0.065520,0.687943,,,,,,,,0.001995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188710,5.20,0.2450,0.3550,,,,,,,,,0.004761,0.047115,0.045539,0.068269,0.690141,,,,,,,,0.002955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188711,5.30,0.2475,0.3575,,,,,,,,,0.004348,0.046698,0.047596,0.067453,0.692308,,,,,,,,0.001608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188712,5.27,0.2500,0.3600,,,,,,,,,0.003883,0.047438,0.047170,0.068311,0.694444,,,,,,,,0.001013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188801,5.31,0.2483,0.3517,,,,,,,,,0.004067,0.046761,0.047116,0.066234,0.705999,,,,,,,,0.000582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188802,5.28,0.2467,0.3433,,,,,,,,,0.003772,0.046723,0.046460,0.065019,0.718613,,,,,,,,0.000444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188803,5.08,0.2450,0.3350,,,,,,,,,0.003219,0.048228,0.046402,0.065945,0.731343,,,,,,,,0.001329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188804,5.10,0.2433,0.3267,,,,,,,,,0.003492,0.047706,0.047894,0.064059,0.744720,,,,,,,,0.001459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188805,5.17,0.2417,0.3183,,,,,,,,,0.003624,0.046750,0.047392,0.061567,0.759347,,,,,,,,0.001082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188806,5.01,0.2400,0.3100,,,,,,,,,0.003196,0.047904,0.046422,0.061876,0.774194,,,,,,,,0.000770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188807,5.14,0.2383,0.3017,,,,,,,,,0.002776,0.046362,0.047565,0.058696,0.789857,,,,,,,,0.001925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188808,5.25,0.2367,0.2933,,,,,,,,,0.002650,0.045086,0.046051,0.055867,0.807024,,,,,,,,0.000898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188809,5.38,0.2350,0.2850,,,,,,,,,0.002857,0.043680,0.044762,0.052974,0.824561,,,,,,,,0.001264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188810,5.35,0.2333,0.2767,,,,,,,,,0.003536,0.043607,0.043364,0.051720,0.843151,,,,,,,,0.000708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188811,5.24,0.2317,0.2683,,,,,,,,,0.003381,0.044218,0.043308,0.051202,0.863586,,,,,,,,0.000936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188812,5.14,0.2300,0.2600,,,,,,,,,0.003145,0.044747,0.043893,0.050584,0.884615,,,,,,,,0.001453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188901,5.24,0.2292,0.2633,,,,,,,,,0.003307,0.043740,0.044591,0.050248,0.870490,,,,,,,,0.000468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188902,5.30,0.2283,0.2667,,,,,,,,,0.003071,0.043075,0.043569,0.050321,0.856018,,,,,,,,0.000398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188903,5.19,0.2275,0.2700,,,,,,,,,0.002776,0.043834,0.042925,0.052023,0.842593,,,,,,,,0.000833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188904,5.18,0.2267,0.2733,,,,,,,,,0.002960,0.043764,0.043680,0.052761,0.829491,,,,,,,,0.000427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188905,5.32,0.2258,0.2767,,,,,,,,,0.002805,0.042444,0.043591,0.052011,0.816046,,,,,,,,0.000356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188906,5.41,0.2250,0.2800,,,,,,,,,0.002481,0.041590,0.042293,0.051756,0.803571,,,,,,,,0.000247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188907,5.30,0.2242,0.2833,,,,,,,,,0.002503,0.042302,0.041442,0.053453,0.791387,,,,,,,,0.000796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188908,5.37,0.2233,0.2867,,,,,,,,,0.002886,0.041583,0.042132,0.053389,0.778863,,,,,,,,0.000536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188909,5.50,0.2225,0.2900,,,,,,,,,0.003447,0.040455,0.041434,0.052727,0.767241,,,,,,,,0.000437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188910,5.40,0.2217,0.2933,,,,,,,,,0.003536,0.041056,0.040309,0.054315,0.755881,,,,,,,,0.000822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188911,5.35,0.2208,0.2967,,,,,,,,,0.004067,0.041271,0.040889,0.055458,0.744186,,,,,,,,0.000828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188912,5.32,0.2200,0.3000,,,,,,,,,0.004067,0.041353,0.041121,0.056391,0.733333,,,,,,,,0.000726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189001,5.38,0.2200,0.2992,,,,,,,,,0.004134,0.040892,0.041353,0.055613,0.735294,,,,,,,,0.000313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189002,5.32,0.2200,0.2983,,,,,,,,,0.003587,0.041353,0.040892,0.056071,0.737513,,,,,,,,0.000237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189003,5.28,0.2200,0.2975,,,,,,,,,0.003351,0.041667,0.041353,0.056345,0.739496,,,,,,,,0.000273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189004,5.39,0.2200,0.2967,,,,,,,,,0.003698,0.040816,0.041667,0.055046,0.741490,,,,,,,,0.000413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189005,5.62,0.2200,0.2958,,,,,,,,,0.003410,0.039146,0.040816,0.052633,0.743746,,,,,,,,0.000748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189006,5.58,0.2200,0.2950,,,,,,,,,0.003373,0.039427,0.039146,0.052867,0.745763,,,,,,,,0.000875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189007,5.54,0.2200,0.2942,,,,,,,,,0.003329,0.039711,0.039427,0.053105,0.747791,,,,,,,,0.000436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189008,5.41,0.2200,0.2933,,,,,,,,,0.003366,0.040665,0.039711,0.054214,0.750085,,,,,,,,0.001959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189009,5.32,0.2200,0.2925,,,,,,,,,0.003765,0.041353,0.040665,0.054981,0.752137,,,,,,,,0.001022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189010,5.08,0.2200,0.2917,,,,,,,,,0.003883,0.043307,0.041353,0.057421,0.754200,,,,,,,,0.001899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189011,4.71,0.2200,0.2908,,,,,,,,,0.003993,0.046709,0.043307,0.061741,0.756534,,,,,,,,0.008502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189012,4.60,0.2200,0.2900,,,,,,,,,0.004621,0.047826,0.046709,0.063043,0.758621,,,,,,,,0.005945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189101,4.84,0.2200,0.2942,,,,,,,,,0.005049,0.045455,0.047826,0.060785,0.747791,,,,,,,,0.001696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189102,4.90,0.2200,0.2983,,,,,,,,,0.003942,0.044898,0.045455,0.060878,0.737513,,,,,,,,0.000805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189103,4.81,0.2200,0.3025,,,,,,,,,0.003329,0.045738,0.044898,0.062890,0.727273,,,,,,,,0.001007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189104,4.97,0.2200,0.3067,,,,,,,,,0.003514,0.044266,0.045738,0.061710,0.717313,,,,,,,,0.001357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189105,4.95,0.2200,0.3108,,,,,,,,,0.003388,0.044444,0.044266,0.062788,0.707851,,,,,,,,0.001975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189106,4.85,0.2200,0.3150,,,,,,,,,0.003610,0.045361,0.044444,0.064948,0.698413,,,,,,,,0.000992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189107,4.77,0.2200,0.3192,,,,,,,,,0.003698,0.046122,0.045361,0.066918,0.689223,,,,,,,,0.000785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189108,4.93,0.2200,0.3233,,,,,,,,,0.003772,0.044625,0.046122,0.065578,0.680483,,,,,,,,0.001771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189109,5.33,0.2200,0.3275,,,,,,,,,0.003883,0.041276,0.044625,0.061445,0.671756,,,,,,,,0.002110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189110,5.33,0.2200,0.3317,,,,,,,,,0.003905,0.041276,0.041276,0.062233,0.663250,,,,,,,,0.001662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189111,5.25,0.2200,0.3358,,,,,,,,,0.003757,0.041905,0.041276,0.063962,0.655152,,,,,,,,0.001409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189112,5.41,0.2200,0.3400,,,,,,,,,0.003373,0.040665,0.041905,0.062847,0.647059,,,,,,,,0.000555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189201,5.51,0.2217,0.3425,,,,,,,,,0.003204,0.040236,0.040980,0.062160,0.647299,,,,,,,,0.001511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189202,5.52,0.2233,0.3450,,,,,,,,,0.002709,0.040453,0.040526,0.062500,0.647246,,,,,,,,0.001350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189203,5.58,0.2250,0.3475,,,,,,,,,0.002363,0.040323,0.040761,0.062276,0.647482,,,,,,,,0.001030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189204,5.57,0.2267,0.3500,,,,,,,,,0.002577,0.040700,0.040627,0.062837,0.647714,,,,,,,,0.000706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189205,5.57,0.2283,0.3525,,,,,,,,,0.002200,0.040987,0.040987,0.063285,0.647660,,,,,,,,0.000710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189206,5.54,0.2300,0.3550,,,,,,,,,0.001971,0.041516,0.041293,0.064079,0.647887,,,,,,,,0.000701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189207,5.54,0.2317,0.3575,,,,,,,,,0.001816,0.041823,0.041823,0.064531,0.648112,,,,,,,,0.000828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
