yyyymm,price,d12,e12,ret,retx,AAA,BAA,lty,ltr,corpr,tbl,Rfree,d/p,d/y,e/p,d/e,b/m,tms,dfy,dfr,infl,eqis,ntis,svar,cay,i/k,csp,pce,vp,impvar,vrp,govik,lzrt,skew,crdstd,ogap,wtexas,accrul,cfacc,sntm,ndrbl,skvw,tail,fbm,dtoy,dtoat,ygap,rdsp,rsvix,gpce,gip,tchi,house,avgcor,shtint,disag
188503,4.38,0.2925,0.3000,,,,,,,,,0.002960,0.066781,0.066934,0.068493,0.975000,,,,,,,,0.001545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188504,4.37,0.2867,0.2967,,,,,,,,,0.002938,0.065606,0.065457,0.067895,0.966296,,,,,,,,0.001798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188505,4.32,0.2808,0.2933,,,,,,,,,0.002569,0.065000,0.064256,0.067894,0.957382,,,,,,,,0.001805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188506,4.30,0.2750,0.2900,,,,,,,,,0.002355,0.063953,0.063657,0.067442,0.948276,,,,,,,,0.001097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188507,4.46,0.2692,0.2867,,,,,,,,,0.002259,0.060359,0.062605,0.064283,0.938961,,,,,,,,0.002936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188508,4.71,0.2633,0.2833,,,,,,,,,0.002222,0.055902,0.059036,0.060149,0.929403,,,,,,,,0.002450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188509,4.65,0.2575,0.2800,,,,,,,,,0.002355,0.055376,0.054671,0.060215,0.919643,,,,,,,,0.001732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188510,4.92,0.2517,0.2767,,,,,,,,,0.002407,0.051159,0.054129,0.056240,0.909649,,,,,,,,0.002996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188511,5.24,0.2458,0.2733,,,,,,,,,0.002591,0.046908,0.049959,0.052156,0.899378,,,,,,,,0.002814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188512,5.20,0.2400,0.2700,,,,,,,,,0.002916,0.046154,0.045802,0.051923,0.888889,,,,,,,,0.003026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188601,5.20,0.2383,0.2750,,,,,,,,,0.002960,0.045827,0.045827,0.052885,0.866545,,,,,,,,0.001729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188602,5.30,0.2367,0.2800,,,,,,,,,0.002820,0.044660,0.045519,0.052830,0.845357,,,,,,,,0.001547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188603,5.19,0.2350,0.2850,,,,,,,,,0.002517,0.045279,0.044340,0.054913,0.824561,,,,,,,,0.001832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188604,5.12,0.2333,0.2900,,,,,,,,,0.002495,0.045566,0.044952,0.056641,0.804483,,,,,,,,0.001223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188605,5.02,0.2317,0.2950,,,,,,,,,0.002776,0.046155,0.045254,0.058765,0.785424,,,,,,,,0.001909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188606,5.25,0.2300,0.3000,,,,,,,,,0.002636,0.043810,0.045817,0.057143,0.766667,,,,,,,,0.001283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188607,5.33,0.2283,0.3050,,,,,,,,,0.002481,0.042833,0.043486,0.057223,0.748525,,,,,,,,0.001035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188608,5.37,0.2267,0.3100,,,,,,,,,0.002547,0.042216,0.042533,0.057728,0.731290,,,,,,,,0.000950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188609,5.51,0.2250,0.3150,,,,,,,,,0.003469,0.040835,0.041899,0.057169,0.714286,,,,,,,,0.000852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188610,5.65,0.2233,0.3200,,,,,,,,,0.003927,0.039522,0.040526,0.056637,0.697813,,,,,,,,0.000890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188611,5.79,0.2217,0.3250,,,,,,,,,0.004111,0.038290,0.039239,0.056131,0.682154,,,,,,,,0.000393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188612,5.64,0.2200,0.3300,,,,,,,,,0.004008,0.039007,0.037997,0.058511,0.666667,,,,,,,,0.002815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188701,5.58,0.2225,0.3325,,,,,,,,,0.004045,0.039875,0.039450,0.059588,0.669173,,,,,,,,0.001826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188702,5.54,0.2250,0.3350,,,,,,,,,0.003698,0.040614,0.040323,0.060469,0.671642,,,,,,,,0.002042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188703,5.67,0.2275,0.3375,,,,,,,,,0.003189,0.040123,0.041065,0.059524,0.674074,,,,,,,,0.000622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188704,5.80,0.2300,0.3400,,,,,,,,,0.003587,0.039655,0.040564,0.058621,0.676471,,,,,,,,0.000353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188705,5.90,0.2325,0.3425,,,,,,,,,0.003610,0.039407,0.040086,0.058051,0.678832,,,,,,,,0.000386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188706,5.73,0.2350,0.3450,,,,,,,,,0.003484,0.041012,0.039831,0.060209,0.681159,,,,,,,,0.001458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188707,5.59,0.2375,0.3475,,,,,,,,,0.003425,0.042487,0.041449,0.062165,0.683453,,,,,,,,0.001705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
