yyyy,price,d12,e12,ret,retx,AAA,BAA,lty,ltr,corpr,tbl,Rfree,d/p,d/y,e/p,d/e,b/m,tms,dfy,dfr,infl,eqis,ntis,svar,cay,i/k,csp,pce,vp,impvar,vrp,govik,lzrt,skew,crdstd,ogap,wtexas,accrul,cfacc,sntm,ndrbl,skvw,tail,fbm,dtoy,dtoat,ygap,rdsp,rsvix,gpce,gip,tchi,house,avgcor,shtint,disag
2011,1257.60,26.43,86.95,0.018231,-0.002846,0.0393,0.0525,0.0248,0.2710,0.1794,0.0001,0.000725,0.021012,0.021192,0.069140,0.303910,0.357233,0.024700,0.013200,-0.091566,0.029624,0.128186,-0.006497,0.053955,-0.005799,0.033837,,-0.069437,28.795353,0.005435,22.136200,0.028403,-1.855866,-0.452137,-5.900000,-0.005585,-0.015245,-0.033791,0.127666,0.193535,0.047422,0.051625,0.464654,0.300020,0.953712,0.862546,-2.691234,0.020820,0.044474,-0.002855,0.010295,-2.681880,-0.240648,0.619006,0.627579,4.769919
2012,1426.19,31.25,86.51,0.160961,0.134092,0.0365,0.0463,0.0241,0.0344,0.1067,0.0007,0.000725,0.021909,0.022064,0.060658,0.361195,0.349032,0.023400,0.009800,0.072362,0.017410,0.116498,-0.011549,0.016176,-0.009021,0.034450,,-0.083749,11.418256,0.002564,17.928000,0.026784,-1.491639,-0.302114,-7.600000,0.003183,0.037158,-0.041617,0.140263,0.043444,0.039854,0.074656,0.484642,0.304571,0.962821,0.925138,-2.819556,0.020045,0.030989,-0.000147,0.005002,1.055849,-0.236726,0.368939,0.067042,4.150606
2013,1848.36,34.99,100.20,0.325263,0.297248,0.0462,0.0538,0.0367,-0.1279,-0.0708,0.0007,0.000575,0.018931,0.019377,0.054210,0.349222,0.304408,0.036000,0.007600,0.057066,0.015017,0.128662,0.012144,0.012483,0.014252,0.035293,,-0.075353,7.783432,0.002057,9.565400,0.026144,-1.761887,-0.090028,-8.300000,0.013864,0.060724,-0.044109,0.133207,-0.023888,0.053580,0.058368,0.455277,0.140886,1.000000,1.000000,-2.943473,0.016982,0.017288,0.006452,0.006791,1.055849,-0.238150,0.312076,-0.360875,3.763380
2014,2058.90,39.44,102.31,0.135259,0.112101,0.0379,0.0474,0.0240,0.2474,0.1727,0.0003,0.000450,0.019157,0.019077,0.049692,0.385526,0.323756,0.023700,0.009500,-0.074676,0.007565,0.109321,0.005625,0.012930,0.008069,0.036410,,-0.041090,19.057377,0.003478,17.533100,0.026858,-1.854681,-0.325423,-10.500000,0.034864,-0.189415,-0.038504,0.128776,0.008485,-0.050581,0.001881,0.476880,0.301611,0.987225,0.987225,-3.023779,0.027089,0.030461,0.008382,0.005852,1.055849,-0.234700,0.400247,-0.452672,3.774100
2015,2043.94,43.39,86.53,0.014935,-0.006697,0.0397,0.0546,0.0243,-0.0064,-0.0101,0.0023,0.000250,0.021228,0.020855,0.042335,0.501420,0.313649,0.022000,0.014900,-0.003689,0.007295,0.103253,-0.022252,0.023910,-0.005755,0.035168,,-0.018369,14.181724,0.003797,9.122900,0.027579,-1.937802,-0.310939,7.400000,-0.021458,-0.081623,-0.044951,0.126480,-0.043343,-0.032423,-0.004419,0.485961,0.293827,0.951543,0.951543,-3.184296,0.026881,0.029006,0.001693,-0.013544,-0.503882,-0.232142,0.386386,-0.200766,3.798513
2016,2238.83,45.70,94.55,0.117976,0.093351,0.0406,0.0483,0.0272,0.0176,0.0670,0.0051,0.002703,0.020413,0.020784,0.042232,0.483349,0.293479,0.022100,0.007700,0.049397,0.020746,0.089542,-0.025108,0.017119,-0.004624,0.034912,,-0.024419,7.837351,0.002486,12.538600,0.028634,-1.268578,0.279796,1.500000,-0.030182,0.087836,-0.050739,0.126636,-0.068615,-0.035816,0.011258,0.479801,0.288339,0.989386,0.989386,-3.189175,0.027597,0.017627,0.001952,-0.000454,0.792587,-0.231537,0.173441,-0.610563,4.425706
2017,2673.61,48.93,109.88,0.219861,0.195309,0.0351,0.0422,0.0254,0.0623,0.1224,0.0132,0.008174,0.018302,0.018930,0.041098,0.445322,0.235393,0.012200,0.007100,0.060093,0.021091,0.077460,-0.019880,0.004563,-0.004437,0.035433,,-0.000642,3.436215,0.002253,6.107300,0.029601,-1.250014,0.333117,-8.500000,-0.014894,0.053310,-0.043619,0.282577,0.057765,0.016377,-0.007635,0.511356,0.233713,0.995237,0.995237,-3.215513,0.023770,0.010176,0.006135,0.014221,1.055849,-0.229202,0.097611,-0.632293,4.113863
2018,2506.85,53.75,132.39,-0.044919,-0.063535,0.0402,0.0513,0.0284,-0.0056,-0.0474,0.0237,0.017741,0.021441,0.019473,0.052811,0.405984,0.268167,0.004700,0.011100,-0.041738,0.019102,0.081069,-0.019228,0.028855,-0.015153,0.035818,,0.010647,15.472471,0.006388,-4.003400,0.029138,-2.113445,0.281758,-15.900000,0.001439,-0.110870,-0.045372,0.135164,0.225482,-0.029404,0.111764,0.462526,0.359961,0.869507,0.869507,-2.968937,0.026073,0.064129,0.001864,0.001506,-1.106946,-0.228565,0.490086,-0.676677,3.752451
2019,3230.78,58.24,139.47,0.314994,0.288991,0.0301,0.0388,0.0186,0.1217,0.1994,0.0154,0.022258,0.018027,0.018542,0.043169,0.417581,0.221932,0.003200,0.008700,0.077742,0.022851,0.093928,-0.007199,0.015758,-0.022356,0.035377,,0.014323,7.751521,0.003775,9.676300,0.030053,-1.505646,-0.062167,5.400000,-0.026984,0.098486,-0.048628,0.134889,-0.179517,-0.057836,0.010359,0.502353,0.304429,0.996271,0.996271,-3.161058,0.040853,0.017853,0.004808,-0.005103,1.055849,-0.229368,0.250595,-0.773385,3.119565
2020,3756.07,58.28,94.13,0.193039,0.171269,0.0226,0.0316,0.0093,0.1666,0.1539,0.0009,0.005256,0.015516,0.016092,0.025061,0.619131,0.216622,0.008400,0.009000,-0.012663,0.013620,0.129299,-0.000098,0.118727,-0.139775,0.033080,,-0.037856,29.987631,0.005314,31.623700,0.030495,-1.986288,,37.700000,-0.071792,0.064843,-0.062626,0.129861,0.230016,-0.009977,0.054564,0.456954,0.339308,1.000000,1.000000,-3.695709,0.039381,0.042189,0.013813,0.016937,1.055849,-0.247523,0.263884,-1.481539,6.401161
2021,4766.18,60.40,197.87,0.284753,0.266830,0.0265,0.0330,0.0147,-0.0543,-0.0265,0.0006,0.000500,0.012672,0.013225,0.041515,0.305236,0.175932,0.014100,0.006500,0.027749,0.070364,0.166105,0.012970,0.017331,-0.098808,0.033550,,0.029360,12.699518,0.003590,2.825500,0.028540,-1.277660,,-18.200000,-0.048684,0.136446,-0.044100,0.142497,0.449429,0.024583,0.007070,0.435896,0.467788,0.995880,0.995880,-3.196435,0.039192,0.024679,0.008044,0.012417,1.055849,-0.232942,0.251053,-1.886112,4.601180
2022,3839.50,66.92,172.75,-0.181886,-0.195288,0.0443,0.0559,0.0362,-0.1246,-0.1576,0.0425,0.012844,0.017430,0.016402,0.044993,0.387397,0.216479,-0.006300,0.011600,-0.032989,0.064544,0.047873,-0.021249,0.058112,0.009066,0.035075,,0.031228,,0.007466,8.207700,0.028525,-1.296731,,39.100000,-0.048799,-0.002735,-0.028223,0.111433,0.078339,-0.001428,0.016254,0.483790,0.450542,0.900749,0.900749,-3.136812,0.030513,0.045050,0.001898,-0.004445,-1.332653,-0.230616,0.492762,-2.016237,2.884048
2023,4769.83,70.30,192.43,0.266388,0.245857,0.0474,0.0564,0.0402,0.0405,0.0852,0.0524,0.049439,0.014739,0.015391,0.040343,0.365347,0.194424,-0.012200,0.009000,0.044654,0.033521,0.044939,-0.017441,0.017142,-0.002251,0.035341,,0.029115,,,5.960000,0.031671,-1.739012,,33.900000,-0.046715,-0.049200,-0.033998,0.123408,,0.022876,-0.000504,0.508539,0.341286,0.999455,0.999455,-3.249746,0.047711,,0.006215,-0.004458,0.792587,-0.231972,0.239503,-2.094452,3.351642
2024,5881.63,74.83,210.17,0.256193,0.239193,0.0520,0.0580,0.0439,0.0058,0.0213,0.0427,0.052523,0.012723,0.012405,0.035733,0.356056,0.183056,0.001200,0.006000,0.015476,0.028881,0.072922,-0.004614,0.016126,-0.006592,0.034675,,0.037742,,,,0.032110,-2.014421,,0.000000,-0.047211,0.061236,-0.044052,0.148584,,-0.033976,-0.077636,0.541364,,0.945132,0.945132,-3.374636,0.029925,,0.005974,-0.002729,1.055849,-0.232362,0.195351,-2.135697,2.824905
