year,date,avg_return_flop_k,accuracy_flop_k,avg_return_top_k,accuracy_top_k,overall_return,accuracy,flop_stocks,top_stocks
1998,1998-01-21,0.6098090005268915,0.6,0.3863856338313513,0.6,0.9961946343582428,0.6,"['DEC.N^F98', 'SGP.N^K09', 'MAT.OQ', 'TJX.N', 'BSX.N', 'LPX.N', 'AZO.N', 'ATI.N^F99', 'UIS.N', 'HLT.N^J07']","['MO.N', 'UST.N^A09', 'RYC.N^H99', 'HON.OQ', 'HPC.N^K08', 'PAS.N^C10', 'FWC.N^K02', 'PH.N', 'SEG.N^K00', 'KLAC.OQ']"
1998,1998-01-22,0.987238399026723,0.5,-0.7087074487403655,0.3,0.27853095028635744,0.4,"['DEC.N^F98', 'ANDW.OQ^A08', 'MDP.N^L21', 'LUV.N', 'HBOC.O^A99', 'RVTY.N', 'SLB.N', 'HET.N^A08', 'LU.N^L06', 'ATI.N^F99']","['UST.N^A09', 'KLAC.OQ', 'PLL.N^H15', 'PTC.OQ', 'TKR.N', 'BAY.N^H98', 'WFC.N^K98', 'IBM.N', 'EFX.N', 'CLX.N']"
1998,1998-01-23,0.030995981017388034,0.30000000000000004,0.9324269159369301,0.9,0.963422896954318,0.6,"['DEC.N^F98', 'ANDW.OQ^A08', 'MU.OQ', 'HET.N^A08', 'FJ.N^K00', 'RVTY.N', 'WCOEQ.OQ^G02', 'LU.N^L06', 'BDX.N', 'PHA.N^D03']","['KLAC.OQ', 'UST.N^A09', 'MO.N', 'BAY.N^H98', 'APA.OQ', 'MER.N^A09', 'NMK.N^A02', 'WFC.N^K98', 'FCX.N', 'CBE.N^L12']"
1998,1998-01-26,-0.944319622537852,0.5,-0.28873636321329327,0.5,-1.2330559857511452,0.5,"['DEC.N^F98', 'HET.N^A08', 'WCOEQ.OQ^G02', 'BDX.N', 'ANDW.OQ^A08', 'RVTY.N', 'FJ.N^K00', 'SGP.N^K09', 'B.N', 'MU.OQ']","['EFX.N', 'U.N^H02', 'VO.N^L00', 'SFA.N^B06', 'BHMSQ.OB^A04', 'DIGI.O^I98', 'BDK.N^C10', 'AMR.N^A12', 'HBAN.OQ', 'HI.N^C03']"
1998,1998-01-27,-0.26094590340343676,0.6,1.0900970458444545,0.7,0.8291511424410178,0.65,"['DEC.N^F98', 'RVTY.N', 'B.N', 'ANDW.OQ^A08', 'AL.N^K07', 'S.N^C05', 'MEA.N^A02', 'PDG.N^C06', 'BMG.N^A01', 'RSH.N^B15']","['DIGI.O^I98', 'COST.OQ', 'HBOC.O^A99', 'GNT.N^G98', 'CHRS.OQ^F12', 'NT.N^A09', 'DXC.N', 'TLAB.OQ^L13', 'MIR.N^E00', 'JH.N^E07']"
1998,1998-01-28,-1.5261761428123743,0.19999999999999996,0.47380004631205275,0.4,-1.0523760965003217,0.3,"['DEC.N^F98', 'B.N', 'ANDW.OQ^A08', 'RVTY.N', 'BMG.N^A01', 'AL.N^K07', 'PDG.N^C06', 'TXN.OQ', 'MSFT.OQ', 'BDX.N']","['GNT.N^G98', 'TLAB.OQ^L13', 'HP.N', 'TCOMA.O^C99', 'JH.N^E07', 'EXC.OQ', 'DAL.N^J05', 'SPGI.N', 'PPW.N^L99', 'CCU.N^G08']"
1998,1998-01-29,1.0800625494889318,0.8,1.5119902502410676,0.8,2.5920527997299994,0.8,"['DEC.N^F98', 'B.N', 'ANDW.OQ^A08', 'BMG.N^A01', 'RVTY.N', 'TXN.OQ', 'AL.N^K07', 'WLA.N^F00', 'MSFT.OQ', 'KRB.N^A06']","['TCOMA.O^C99', 'HP.N', 'GNT.N^G98', 'HCA.N^K06', 'CMCSK.OQ^L15', 'GLW.N', 'PGR.N', 'EFX.N', 'TJX.N', 'HLT.N^J07']"
1998,1998-01-30,0.5288142834399764,0.6,-0.5646436350132431,0.5,-0.03582935157326672,0.55,"['DEC.N^F98', 'WLA.N^F00', 'BDX.N', 'RTX.N', 'BHMSQ.OB^A04', 'RLM.N^E00', 'AL.N^K07', 'WCOEQ.OQ^G02', 'PHA.N^D03', 'STO.N^K98']","['DIGI.O^I98', 'HP.N', 'TJX.N', 'AAPL.OQ', 'CIN.N^D06', 'EC.N^F06', 'PG.N', 'ITT.N^B98', 'CMI.N', 'GIS.N']"
1998,1998-02-02,-2.109091498686466,0.4,0.5024621254708007,0.4,-1.6066293732156653,0.4,"['DEC.N^F98', 'WCOEQ.OQ^G02', 'ORCL.N', 'BDX.N', 'BHMSQ.OB^A04', 'SGI.N^K05', 'HWM.N', 'FDC.N^I07', 'GNT.N^G98', 'EMC.N^I16']","['DIGI.O^I98', 'HP.N', 'LUV.N', 'NMK.N^A02', 'BFI.N^H99', 'AS.N^I99', 'PAS.N^C10', 'CC.N^K08', 'PDG.N^C06', 'UPR.N^G00']"
1998,1998-02-03,-0.3851957818401696,0.6,0.03858974032777963,0.4,-0.34660604151239,0.5,"['ORCL.N', 'SGI.N^K05', 'BHMSQ.OB^A04', 'BDX.N', 'GNT.N^G98', 'BAX.N', 'DEC.N^F98', 'TXN.OQ', 'MSFT.OQ', 'EMC.N^I16']","['HP.N', 'AAPL.OQ', 'BFI.N^H99', 'DIGI.O^I98', 'UPR.N^G00', 'AS.N^I99', 'EXC.OQ', 'SNV.N', 'CMCSK.OQ^L15', 'GIS.N']"
